"born_CH","since","male","kids","unemployed","refugee","married","percent_novotes_rounded","origin_region","application_decade","age","education","local_language","integration_level","skill_level"
0,16.0000002384186,1,1,NA,NA,1,29,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,"low"
0,18.9999997615814,1,1,NA,NA,1,47,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"low"
0,22.0000004768372,0,0,NA,1,1,28,"Central & Eastern Europe","1990s","41–60 years","low",NA,NA,"high"
0,18.9999997615814,1,1,NA,NA,1,42,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
0,18.9999997615814,1,1,NA,NA,1,38,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"low"
1,NA,1,0,NA,NA,NA,40,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,NA,"high"
0,29.0000009536743,1,0,NA,NA,NA,19,"Other Non-European Countries","1990s","21–40 years","low",NA,NA,"high"
0,27.9999995231628,1,1,NA,NA,1,39,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,"low"
0,22.0000004768372,0,1,NA,NA,1,44,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
1,NA,0,0,NA,NA,NA,41,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,NA,"high"
0,16.0000002384186,1,1,NA,NA,1,40,"Former Yugoslavia and Turkey","2000s",NA,NA,NA,NA,"low"
1,NA,1,0,NA,NA,NA,14,"Southern Europe","1980s",NA,"low",NA,NA,"low"
0,13.9999997615814,0,0,NA,NA,NA,39,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
1,NA,1,0,NA,NA,NA,41,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,17.0000004768372,1,1,NA,NA,1,41,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
1,NA,1,0,NA,NA,NA,13,"Southern Europe","1990s",NA,"low",NA,NA,NA
1,NA,0,0,NA,NA,NA,37,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,NA,"high"
1,NA,0,0,NA,NA,0,34,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,12.0000004768372,1,0,NA,NA,NA,43,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,"integrated","low"
0,12.9999995231628,0,0,NA,NA,NA,39,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"low"
0,13.9999997615814,0,0,NA,NA,NA,27,"Former Yugoslavia and Turkey","1980s","41–60 years","low",NA,NA,"middle"
1,NA,1,0,NA,NA,NA,28,"Southern Europe","1990s","41–60 years","low",NA,NA,"middle"
1,NA,0,0,NA,NA,NA,15,"Norther & Western Europe","1990s","21–40 years","low",NA,NA,"middle"
1,NA,1,0,NA,NA,NA,12,"Southern Europe","1990s","21–40 years","low",NA,NA,"high"
0,18.9999997615814,1,1,NA,NA,1,39,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"low"
1,NA,0,0,NA,NA,NA,25,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,NA,NA
0,25.9999990463257,1,1,NA,NA,1,32,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"low"
1,NA,0,0,NA,NA,NA,40,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
1,NA,0,0,NA,NA,NA,36,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,NA,"high"
0,27.9999995231628,1,1,NA,NA,1,40,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,"integrated",NA
1,NA,1,0,NA,NA,NA,38,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,NA,NA
0,NA,1,1,NA,NA,1,22,"Norther & Western Europe","1980s","41–60 years","low",NA,NA,"middle"
0,17.9999995231628,1,1,NA,NA,1,41,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"low"
1,NA,1,0,NA,NA,NA,14,"Southern Europe","1980s","21–40 years","low",NA,NA,"high"
0,12.0000004768372,0,0,NA,NA,NA,42,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,NA,NA
0,20,1,1,NA,NA,1,41,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,NA
0,13.9999997615814,1,1,NA,NA,1,37,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,"integrated","low"
1,NA,1,0,NA,NA,NA,31,"Southern Europe","2000s",NA,"low",NA,NA,NA
0,17.9999995231628,1,1,NA,NA,1,46,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,"low"
0,25.9999990463257,0,0,NA,NA,NA,41,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,20.9999990463257,1,1,NA,NA,1,40,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,21,"Southern Europe","1980s",NA,"low",NA,NA,"low"
0,27.9999995231628,1,1,NA,NA,1,14,"Southern Europe","1990s","41–60 years",NA,NA,NA,"low"
0,25.9999990463257,0,1,NA,NA,1,46,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,50,0,0,NA,NA,NA,26,"Norther & Western Europe","2000s","60+ years","low",NA,NA,NA
1,NA,0,0,NA,NA,NA,20,"Southern Europe","1990s","21–40 years","low",NA,NA,"high"
0,22.0000004768372,1,1,NA,NA,1,38,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
0,24.0000009536743,1,1,NA,NA,1,47,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
1,NA,0,0,NA,NA,1,38,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
1,NA,1,0,NA,NA,NA,23,"Southern Europe","1990s",NA,"low",NA,NA,"high"
0,20.9999990463257,1,1,NA,NA,1,48,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"low"
0,16.0000002384186,1,1,NA,NA,1,42,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"middle"
1,NA,0,1,NA,NA,1,52,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","familiar with Swiss customs and traditions",NA
1,NA,0,1,NA,NA,1,54,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"high"
0,12.0000004768372,1,0,NA,NA,NA,48,"Other Non-European Countries","1990s","21–40 years","low","perfect",NA,NA
1,NA,1,0,NA,NA,0,28,"Norther & Western Europe","1980s",NA,"low",NA,"assimilated","high"
0,NA,1,1,NA,NA,1,36,"Norther & Western Europe","1990s","41–60 years","low",NA,"integrated","middle"
1,NA,1,0,NA,NA,0,42,"Southern Europe","1980s","21–40 years","low",NA,"assimilated","low"
0,22.9999995231628,1,1,NA,1,1,43,"Central & Eastern Europe","1990s","60+ years","low",NA,"assimilated","middle"
1,NA,1,1,NA,NA,1,35,"Southern Europe","2000s","21–40 years","low","perfect","highly integrated","middle"
0,29.0000009536743,1,1,NA,NA,1,49,"Norther & Western Europe","1980s","41–60 years","low",NA,"assimilated","high"
1,NA,1,0,NA,NA,0,51,"Southern Europe","1980s",NA,"low",NA,"assimilated","low"
0,16.0000002384186,0,1,NA,NA,NA,58,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"high"
0,15,1,1,NA,NA,1,52,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"middle"
0,15,0,0,NA,NA,0,58,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"middle"
0,NA,1,1,NA,NA,1,14,"Norther & Western Europe","1970s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,13.9999997615814,1,1,NA,NA,1,53,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect",NA,"middle"
1,NA,0,0,NA,NA,0,45,"Norther & Western Europe","1980s","21–40 years","low",NA,"highly assimilated",NA
1,NA,0,0,NA,NA,NA,38,"Southern Europe","1990s","21–40 years","low","perfect",NA,"high"
0,20,1,1,NA,NA,1,53,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"middle"
1,NA,1,0,NA,NA,0,50,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,NA
0,12.9999995231628,1,0,NA,NA,0,56,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"low"
0,12.9999995231628,1,1,NA,NA,1,65,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","integrated","low"
0,10,1,0,NA,NA,0,35,"Other Non-European Countries","1980s",NA,"low",NA,"assimilated",NA
0,16.0000002384186,1,1,NA,NA,1,19,"Norther & Western Europe","1980s","41–60 years",NA,NA,"assimilated","high"
1,NA,1,0,NA,NA,0,51,"Southern Europe","1980s",NA,"low",NA,"assimilated","low"
0,32.9999995231628,1,1,NA,NA,1,23,"Southern Europe","2000s","41–60 years","low","perfect","highly integrated",NA
0,27.9999995231628,1,1,NA,NA,1,37,"Norther & Western Europe","1980s","41–60 years",NA,NA,"assimilated","high"
0,17.9999995231628,0,0,NA,NA,0,39,"Norther & Western Europe","1980s","21–40 years","low","perfect","assimilated",NA
0,17.9999995231628,1,1,1,NA,1,45,"Former Yugoslavia and Turkey","1980s","41–60 years","low",NA,"assimilated",NA
1,NA,0,1,NA,NA,1,57,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"high"
0,13.9999997615814,1,1,NA,NA,1,49,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","integrated","low"
0,25,1,0,NA,NA,1,47,"Norther & Western Europe","1980s","41–60 years",NA,NA,"assimilated",NA
1,NA,1,0,NA,NA,0,42,"Southern Europe","1980s",NA,"low",NA,"assimilated","low"
0,22.9999995231628,1,0,NA,NA,NA,47,"Southern Europe","1990s","41–60 years",NA,NA,NA,"middle"
1,NA,0,0,NA,NA,0,57,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect",NA,"high"
1,NA,0,1,NA,NA,1,55,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","familiar with Swiss customs and traditions",NA
1,NA,0,1,NA,NA,1,44,"Southern Europe","1990s","21–40 years","low","perfect",NA,NA
0,25,1,1,NA,NA,1,53,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"low"
0,15,1,1,NA,NA,1,50,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"low"
0,8.00000011920929,1,0,NA,NA,0,35,"Norther & Western Europe","1980s","21–40 years","low",NA,"assimilated",NA
0,13.9999997615814,1,0,NA,NA,0,57,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"low"
1,NA,1,0,NA,NA,0,52,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect",NA,NA
0,NA,1,0,NA,NA,0,34,"Norther & Western Europe","1990s",NA,"low",NA,NA,NA
0,13.9999997615814,1,0,NA,NA,1,21,"Former Yugoslavia and Turkey","1980s","41–60 years","low",NA,"assimilated","middle"
0,25.9999990463257,1,1,NA,NA,1,54,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"low"
0,24.0000009536743,0,0,NA,NA,0,45,"Norther & Western Europe","1990s","21–40 years","low","perfect",NA,"high"
0,18.9999997615814,1,1,NA,1,1,52,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,NA,"middle"
0,12.9999995231628,1,1,NA,NA,1,54,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"low"
0,NA,1,1,NA,NA,1,16,"Southern Europe","1980s","21–40 years","low",NA,"familiar with Swiss customs and traditions","middle"
0,20.9999990463257,1,1,NA,NA,1,47,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect",NA,"middle"
0,12.9999995231628,1,1,NA,NA,1,53,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect",NA,"middle"
1,NA,0,0,NA,NA,0,57,"Former Yugoslavia and Turkey","2000s",NA,NA,"perfect",NA,NA
1,NA,1,0,NA,NA,1,27,"Norther & Western Europe","1980s","41–60 years",NA,NA,"assimilated",NA
0,13.9999997615814,1,0,0,0,0,50,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"indistinguishable from Swiss","high"
1,20,1,0,0,0,0,49,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","integrated","high"
0,18.9999997615814,0,1,0,0,0,66,"Former Yugoslavia and Turkey","2000s","41–60 years","low","good","familiar with Swiss customs and traditions","low"
1,20,0,0,0,0,0,64,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","familiar with Swiss customs and traditions","high"
0,10,0,0,0,0,0,58,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect",NA,"high"
0,15,1,1,1,0,1,51,"Former Yugoslavia and Turkey","1990s","41–60 years","low",NA,"familiar with Swiss customs and traditions","middle"
0,17.9999995231628,0,0,0,0,0,58,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","indistinguishable from Swiss","high"
0,20.9999990463257,1,1,0,0,1,65,"Former Yugoslavia and Turkey","2000s","41–60 years","low","perfect","integrated","low"
0,10,1,0,0,0,0,58,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect",NA,"low"
0,20.9999990463257,0,1,1,0,1,66,"Former Yugoslavia and Turkey","2000s","41–60 years","low","sufficient","familiar with Swiss customs and traditions","low"
0,17.9999995231628,1,0,0,0,0,58,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","indistinguishable from Swiss","high"
0,17.9999995231628,0,0,0,0,0,54,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","indistinguishable from Swiss","high"
0,18.9999997615814,1,0,0,0,0,64,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","integrated","high"
0,17.9999995231628,1,1,0,0,1,68,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"familiar with Swiss customs and traditions","low"
0,17.9999995231628,0,1,0,0,1,50,"Former Yugoslavia and Turkey","1990s","41–60 years","low","good","familiar with Swiss customs and traditions","low"
1,20.9999990463257,1,0,0,0,0,64,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","highly integrated","low"
0,13.9999997615814,0,0,0,0,0,50,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"indistinguishable from Swiss","low"
0,16.0000002384186,1,1,0,1,1,61,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,"sufficient",NA,"low"
0,17.0000004768372,1,0,0,0,0,44,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","indistinguishable from Swiss","low"
0,13.9999997615814,0,0,0,0,0,59,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","indistinguishable from Swiss","high"
0,17.0000004768372,0,0,0,0,0,44,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","indistinguishable from Swiss","high"
0,13.9999997615814,1,0,0,0,0,59,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","indistinguishable from Swiss","low"
0,16.0000002384186,1,1,0,1,1,58,"Asian Countries","1990s","21–40 years","low","perfect",NA,"low"
0,12.9999995231628,0,0,NA,0,0,47,"Former Yugoslavia and Turkey","1980s",NA,"low",NA,"indistinguishable from Swiss",NA
0,18.9999997615814,1,0,0,0,1,33,"Norther & Western Europe","1970s","21–40 years","low",NA,"assimilated","low"
0,17.0000004768372,1,1,0,0,1,60,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","familiar with Swiss customs and traditions","low"
0,18.9999997615814,1,1,0,0,1,60,"Former Yugoslavia and Turkey","1980s","41–60 years","low",NA,NA,NA
0,13.9999997615814,0,0,0,0,0,64,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"high"
0,17.0000004768372,1,1,1,0,1,44,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"familiar with Swiss customs and traditions","middle"
0,16.0000002384186,1,1,0,1,1,57,"Former Yugoslavia and Turkey","1990s","41–60 years","low","perfect",NA,"low"
0,16.0000002384186,0,0,0,0,0,53,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,"familiar with Swiss customs and traditions","high"
0,12.9999995231628,1,1,0,0,1,47,"Central & Eastern Europe","1990s","41–60 years","low","perfect",NA,"low"
1,17.9999995231628,1,0,0,0,0,49,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","integrated","high"
0,11.0000002384186,0,1,0,0,1,57,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"integrated",NA
0,20,1,1,0,1,1,57,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,"sufficient",NA,"low"
0,17.9999995231628,1,0,0,0,0,58,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","indistinguishable from Swiss","high"
0,12.9999995231628,1,0,0,0,0,48,"Former Yugoslavia and Turkey","1980s",NA,"low",NA,"indistinguishable from Swiss","low"
0,22.9999995231628,1,0,0,0,0,46,"Former Yugoslavia and Turkey","1980s","21–40 years","low",NA,"familiar with Swiss customs and traditions","middle"
0,22.9999995231628,1,1,0,0,1,36,"Norther & Western Europe","1970s","41–60 years","low",NA,"assimilated","middle"
1,17.9999995231628,1,0,0,0,0,63,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","familiar with Swiss customs and traditions","low"
1,22.0000004768372,0,0,0,0,0,63,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
0,17.0000004768372,1,0,0,0,0,44,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","indistinguishable from Swiss","high"
0,22.9999995231628,1,1,0,0,1,49,"Former Yugoslavia and Turkey","2000s","41–60 years","low","perfect",NA,"middle"
1,20.9999990463257,0,0,0,0,0,42,"Southern Europe","1990s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
0,13.9999997615814,0,0,0,0,0,56,"Former Yugoslavia and Turkey","1990s",NA,"low","perfect","indistinguishable from Swiss","high"
0,13.9999997615814,1,1,0,0,1,58,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,"sufficient",NA,"low"
0,17.0000004768372,0,0,0,0,0,44,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect","indistinguishable from Swiss","low"
0,12.9999995231628,1,1,0,0,1,47,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"highly assimilated",NA
0,13.9999997615814,0,0,0,0,0,58,"Former Yugoslavia and Turkey","1990s",NA,"low","perfect","indistinguishable from Swiss","high"
0,13.9999997615814,1,0,0,0,0,50,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"indistinguishable from Swiss","low"
0,13.9999997615814,1,1,0,1,1,46,"Asian Countries","1990s","21–40 years","low",NA,"integrated","low"
0,17.9999995231628,1,1,0,0,1,49,"Former Yugoslavia and Turkey","2000s","21–40 years","low","perfect","familiar with Swiss customs and traditions","low"
0,15,1,1,0,1,1,47,"Asian Countries","1990s","21–40 years","low","good",NA,"low"
0,16.0000002384186,1,0,0,0,0,56,"Former Yugoslavia and Turkey","1980s","21–40 years","low",NA,NA,"low"
0,13.9999997615814,1,1,0,1,1,39,"Asian Countries","1990s","41–60 years","low",NA,"familiar with Swiss customs and traditions","low"
0,12.9999995231628,1,0,NA,0,0,57,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect",NA,NA
0,12.9999995231628,1,0,NA,0,0,48,"Former Yugoslavia and Turkey","1980s",NA,"low",NA,"indistinguishable from Swiss",NA
0,8.99999976158142,0,1,0,0,1,54,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,"integrated",NA
0,22.9999995231628,0,1,1,0,1,64,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"familiar with Swiss customs and traditions","low"
1,17.0000004768372,1,0,0,0,0,53,"Southern Europe","1980s",NA,"low",NA,"indistinguishable from Swiss","low"
0,30,1,1,0,0,1,58,"Former Yugoslavia and Turkey","1990s","41–60 years","low","good",NA,"low"
0,15,0,0,0,0,0,51,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,"familiar with Swiss customs and traditions","high"
0,13.9999997615814,0,0,0,0,0,51,"Former Yugoslavia and Turkey","1990s",NA,"low",NA,"indistinguishable from Swiss","high"
0,12.9999995231628,1,0,0,0,0,48,"Former Yugoslavia and Turkey","1980s","21–40 years","low",NA,"indistinguishable from Swiss","low"
0,12.0000004768372,0,0,0,0,0,68,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"familiar with Swiss customs and traditions","low"
0,13.9999997615814,1,0,0,0,0,64,"Former Yugoslavia and Turkey","2000s",NA,"low","perfect","familiar with Swiss customs and traditions","low"
0,20,1,1,0,0,1,38,"Norther & Western Europe","1970s","21–40 years","low",NA,"assimilated","high"
0,12.9999995231628,1,1,0,0,1,32,"Former Yugoslavia and Turkey","1980s","41–60 years","low","perfect","familiar with Swiss customs and traditions","middle"
0,12.0000004768372,1,1,0,1,1,46,"Asian Countries","1990s","21–40 years","low","sufficient","familiar with Swiss customs and traditions","low"
0,17.0000004768372,0,0,0,0,0,43,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,"familiar with Swiss customs and traditions","high"
0,12.9999995231628,1,0,0,0,0,56,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect",NA,"high"
0,22.9999995231628,1,1,0,0,1,65,"Former Yugoslavia and Turkey","1990s","41–60 years","low","sufficient","integrated","low"
0,39.0000009536743,0,1,0,0,0,30,"Southern Europe","1990s","41–60 years","low",NA,"highly assimilated","high"
0,12.9999995231628,1,0,0,0,0,55,"Former Yugoslavia and Turkey","1990s","21–40 years","low","perfect",NA,"high"
0,17.0000004768372,1,1,0,0,1,73,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"familiar with Swiss customs and traditions","low"
0,10,0,0,0,0,0,58,"Former Yugoslavia and Turkey","1990s",NA,"low","perfect",NA,"high"
0,16.0000002384186,1,1,1,0,1,54,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,"familiar with Swiss customs and traditions","middle"
0,20,1,1,0,0,1,57,"Former Yugoslavia and Turkey","1990s","41–60 years","low",NA,"familiar with Swiss customs and traditions","middle"
0,16.0000002384186,1,1,0,0,1,57,"Former Yugoslavia and Turkey","1980s","21–40 years","low","perfect","familiar with Swiss customs and traditions","high"
0,15,0,0,NA,NA,0,16,"Norther & Western Europe","1990s","21–40 years",NA,NA,NA,"high"
0,20.9999990463257,1,1,NA,NA,1,47,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
0,11.0000002384186,0,0,NA,NA,0,13,"Norther & Western Europe","1990s","21–40 years","low",NA,NA,NA
0,18.9999997615814,1,0,NA,NA,1,20,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"high"
0,20,1,1,NA,NA,1,33,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,"good","integrated",NA
0,11.0000002384186,1,0,NA,NA,0,14,"Norther & Western Europe","1990s",NA,"low",NA,NA,NA
0,8.00000011920929,1,0,NA,NA,0,33,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,"high"
0,16.0000002384186,1,1,NA,NA,1,29,"Former Yugoslavia and Turkey","1990s","21–40 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,NA,11,"Southern Europe","1990s","21–40 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,28,"Asian Countries","1990s","21–40 years",NA,NA,NA,NA
1,NA,1,0,NA,NA,0,11,"Southern Europe","1990s","21–40 years",NA,NA,NA,"high"
0,NA,1,1,NA,NA,NA,8,"Southern Europe","1990s","21–40 years",NA,NA,NA,"low"
0,NA,0,0,NA,NA,NA,27,"Former Yugoslavia and Turkey","1980s","21–40 years",NA,NA,NA,NA
0,NA,1,1,NA,NA,1,33,"Norther & Western Europe","1980s","21–40 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,1,3,"Norther & Western Europe","2000s","41–60 years",NA,NA,NA,"high"
0,NA,1,0,NA,NA,1,36,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"high"
0,NA,0,1,NA,NA,0,26,"Southern Europe","1990s","21–40 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,35,"Central & Eastern Europe","1980s","41–60 years",NA,NA,NA,NA
0,NA,1,0,NA,NA,1,48,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,NA,39,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,NA
0,NA,0,0,NA,NA,0,53,"Former Yugoslavia and Turkey","2000s",NA,NA,NA,NA,"high"
0,NA,1,1,NA,NA,1,25,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,45,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,39,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,46,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,"low"
0,NA,1,1,NA,NA,1,66,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"low"
0,NA,1,0,NA,NA,0,9,"Norther & Western Europe","1990s","60+ years",NA,NA,NA,NA
